person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,ID
26,180000,2,9.0,1,3,9700,13.85,0,0.05,1,4,15819
25,77000,2,8.0,4,1,9000,6.03,0,0.12,1,3,11868
25,96000,1,0.0,2,2,4000,9.88,0,0.04,1,3,13818
26,123996,2,10.0,4,1,2000,5.42,0,0.02,1,4,15136
26,65520,3,3.0,5,1,10000,7.51,0,0.15,1,4,11554
25,88500,3,3.0,1,3,7200,13.47,0,0.08,2,2,16014
28,39500,3,4.0,4,2,3600,11.99,0,0.09,1,9,19713
27,58800,3,6.0,4,2,2800,12.69,1,0.05,1,10,25675
22,60000,2,6.0,1,1,7000,7.14,0,0.12,1,3,9107
27,64000,3,3.0,3,1,3600,7.49,1,0.06,1,5,19890
24,63750,2,8.0,4,4,35000,,1,0.47,1,3,13006
45,90000,2,3.0,1,2,2500,11.99,0,0.03,1,13,31202
25,153600,2,1.0,5,1,18000,6.99,0,0.12,1,2,15681
31,60000,2,15.0,2,3,15000,12.68,0,0.25,1,6,22922
36,49000,3,6.0,4,2,7000,10.74,1,0.14,1,16,30297
25,72893,2,9.0,3,3,20000,13.22,0,0.27,1,2,11278
53,88000,3,0.0,2,1,5000,8.49,0,0.06,1,25,32227
29,34000,3,13.0,4,3,2000,14.72,0,0.06,2,7,26484
32,33000,2,2.0,4,1,5000,6.17,0,0.15,1,7,19286
35,48000,2,8.0,4,3,2000,11.97,0,0.04,1,9,21404
24,30000,3,0.0,2,1,12000,6.91,1,0.4,1,3,12199
21,21000,3,2.0,2,2,10000,11.71,1,0.48,1,2,10337
27,68400,2,8.0,5,3,8000,14.26,1,0.12,1,7,24440
23,25000,3,1.0,3,1,7100,7.9,0,0.28,1,2,6750
27,78000,2,5.0,3,2,6775,10.59,1,0.09,1,5,25236
38,124000,2,8.0,1,4,12000,,0,0.1,1,16,31541
28,44300,2,12.0,4,1,4325,7.49,0,0.1,1,5,20800
26,53307,3,5.0,1,2,15000,10.39,0,0.28,1,4,15191
22,12996,1,1.0,1,2,4750,,1,0.37,1,2,17123
66,300000,2,3.0,3,1,28000,6.62,0,0.09,1,23,32141
33,68508,3,17.0,4,1,7000,8.0,0,0.1,1,6,21911
23,80000,3,3.0,5,1,7200,8.9,0,0.09,1,2,8116
27,72000,3,4.0,5,3,6000,15.96,0,0.08,1,10,21749
23,61498,2,5.0,3,2,5000,11.36,0,0.08,1,2,9372
26,93492,3,0.0,5,2,20000,9.45,0,0.21,1,4,804
37,27000,3,2.0,4,1,8500,8.49,1,0.31,1,17,29885
35,39996,3,4.0,2,1,8000,5.99,0,0.2,1,5,22867
22,118000,3,0.0,3,4,19550,15.62,1,0.17,2,4,15917
30,223800,2,15.0,4,2,25000,11.83,1,0.11,1,9,27694
30,200000,3,5.0,5,2,10000,11.36,0,0.05,1,9,17895
26,72000,2,3.0,4,1,10000,,0,0.14,1,3,11181
32,53196,3,9.0,1,2,25000,11.86,1,0.47,1,9,17854
36,145000,2,4.0,3,2,5000,9.62,0,0.03,1,16,31638
35,60000,1,1.0,3,4,5000,15.7,0,0.08,1,9,23030
23,22000,2,5.0,5,1,1550,7.49,1,0.07,1,2,805
23,50400,3,3.0,1,2,5000,10.38,0,0.1,1,2,5288
33,72000,2,,1,1,5000,6.99,0,0.07,1,7,28117
22,36000,2,6.0,5,1,10000,5.42,0,0.28,1,3,3300
31,53000,2,2.0,4,2,7200,10.37,0,0.14,1,8,22063
25,94000,2,9.0,4,2,30000,10.65,0,0.32,1,4,13574
34,35665,3,2.0,3,2,10000,10.08,0,0.28,1,6,23913
21,38000,1,5.0,2,2,14000,11.12,0,0.37,1,3,3680
32,51000,3,1.0,3,3,9000,12.99,0,0.18,2,5,23545
36,72800,3,3.0,4,4,24000,14.09,1,0.33,1,12,29105
24,23000,3,4.0,3,1,5900,9.63,0,0.26,1,4,6089
23,87000,2,0.0,3,3,7500,11.28,0,0.09,2,2,13052
30,125000,3,2.0,2,3,3000,14.65,0,0.02,2,10,19507
36,53126,3,1.0,4,4,8000,,1,0.15,1,11,31886
30,120000,2,6.0,4,1,9600,7.66,0,0.08,1,9,26874
23,54000,3,1.0,1,2,20000,11.83,1,0.37,1,4,634
22,50000,3,2.0,3,2,8000,12.18,0,0.16,1,4,8964
32,52000,2,1.0,1,1,1000,6.99,0,0.02,1,7,21937
22,41340,3,6.0,1,4,14000,17.49,1,0.34,1,3,2026
24,30972,3,1.0,1,4,2000,16.29,1,0.06,1,2,1897
23,103000,2,0.0,5,4,16750,,1,0.16,1,2,14809
27,37595,3,6.0,5,1,9600,7.14,0,0.26,1,8,23667
25,60000,2,4.0,1,1,14000,7.9,0,0.23,1,2,8720
22,43000,3,3.0,4,4,10000,16.77,1,0.23,1,2,11113
27,63360,3,1.0,2,2,6500,9.99,0,0.1,1,8,22022
38,52000,2,3.0,5,1,15250,7.88,0,0.29,1,15,30195
40,75000,3,6.0,2,1,15000,7.29,0,0.2,1,11,31616
31,80000,3,1.0,4,2,9600,9.91,0,0.12,1,7,23721
23,81500,2,4.0,5,2,15000,10.0,0,0.18,1,4,12456
25,19200,3,2.0,4,3,6000,13.11,1,0.31,2,2,6125
23,36707,3,3.0,3,4,9250,16.32,0,0.25,2,4,10035
24,40000,3,3.0,2,1,3500,7.9,0,0.09,1,4,3174
24,47000,2,5.0,5,3,10000,13.79,0,0.21,2,4,5890
35,33144,3,3.0,1,4,8400,14.91,0,0.25,1,8,23341
28,31000,1,0.0,3,1,1000,7.4,0,0.03,1,7,27948
33,95000,2,4.0,4,1,11200,7.29,0,0.12,1,8,25900
21,45000,1,2.0,1,1,6000,,0,0.13,1,2,5293
24,54000,1,8.0,2,3,1200,13.11,0,0.02,2,3,7671
22,25000,3,0.0,1,2,2975,9.96,0,0.12,1,2,2469
28,20000,3,0.0,4,2,2150,10.37,0,0.11,1,6,18952
27,96000,2,4.0,5,3,2500,12.99,0,0.03,2,10,25968
23,92004,3,6.0,4,3,30000,15.23,1,0.33,2,2,16088
29,62000,3,13.0,5,3,9000,,0,0.15,1,7,28841
26,68000,2,9.0,2,3,12000,,0,0.18,2,3,10512
31,93000,2,10.0,4,1,3000,8.49,0,0.03,1,8,25820
26,73008,2,4.0,5,5,15000,15.68,1,0.21,2,3,12926
27,92000,2,11.0,2,2,18000,11.48,0,0.2,1,7,25793
23,86000,2,2.0,3,1,15000,6.03,0,0.17,1,2,12948
25,200000,2,2.0,5,2,15500,11.99,0,0.08,1,2,179
25,15000,3,0.0,4,1,2000,7.88,0,0.13,1,4,1764
26,45000,2,4.0,3,1,11000,8.9,0,0.24,1,3,5279
24,25000,3,3.0,2,1,3000,8.32,0,0.12,1,2,12613
24,64600,3,2.0,5,1,5000,7.9,0,0.08,1,4,5516
27,50000,3,1.0,2,3,8000,13.98,0,0.16,1,9,22962
27,67000,3,3.0,5,2,6000,9.99,0,0.09,1,8,21732
24,56004,3,2.0,4,3,14000,12.61,0,0.25,1,2,13950
25,30000,3,9.0,4,1,1800,8.49,1,0.06,1,2,14854
58,900000,3,18.0,5,3,19600,13.98,0,0.02,1,28,32134
36,55000,2,2.0,3,1,12000,,0,0.22,1,13,30294
26,62400,3,3.0,3,2,2000,12.53,0,0.03,1,2,1929
26,36225,3,2.0,1,3,5000,12.84,0,0.14,1,4,4863
26,130000,2,5.0,3,4,35000,18.25,0,0.27,2,4,15297
30,120000,2,14.0,1,4,7500,15.65,0,0.06,1,8,28381
25,120000,2,9.0,3,3,25000,13.72,0,0.21,1,3,15005
31,41004,2,5.0,5,1,4000,,0,0.1,1,5,20431
25,28800,3,2.0,4,1,1600,6.62,0,0.06,1,2,15034
31,73000,3,5.0,4,2,5800,10.37,0,0.08,1,6,21320
24,35000,3,2.0,4,2,16000,11.71,1,0.46,1,3,1217
26,70000,2,3.0,4,2,3200,9.25,0,0.05,1,4,10851
22,38000,2,3.0,5,1,6000,7.51,0,0.16,1,4,3628
31,36000,2,8.0,2,2,1600,10.59,0,0.04,1,7,19662
27,36000,2,6.0,1,2,4000,11.49,0,0.11,1,9,19650
25,36000,3,9.0,3,3,8000,12.73,1,0.22,2,2,8848
24,26000,2,8.0,4,1,7000,7.74,0,0.27,1,2,1341
29,42996,3,5.0,1,3,6000,15.96,1,0.14,1,5,21578
24,61000,3,3.0,4,2,16400,10.99,0,0.27,1,4,1207
24,130000,2,6.0,3,2,20000,11.58,0,0.15,1,2,15363
32,55000,3,4.0,4,3,8000,,0,0.15,1,8,22994
30,38400,3,2.0,3,2,9800,11.48,0,0.26,1,5,20506
33,82000,2,2.0,2,1,6000,7.51,0,0.07,1,10,25120
27,20400,3,3.0,1,1,5500,6.91,0,0.27,1,8,28096
26,72000,3,0.0,5,1,10000,5.79,0,0.14,1,3,11645
23,33300,1,2.0,1,3,9000,13.57,0,0.27,2,4,2632
26,75000,2,3.0,1,3,3500,12.99,0,0.05,2,3,11534
21,39900,3,0.0,1,1,12000,7.9,0,0.3,1,3,12362
27,140987,2,5.0,1,1,6450,5.99,0,0.05,1,10,27350
41,63000,3,1.0,3,1,1500,8.0,0,0.02,1,17,29305
29,72000,2,0.0,1,2,24000,10.99,0,0.33,1,6,24291
23,55000,3,2.0,3,2,8000,10.65,0,0.15,1,2,9014
30,150000,1,5.0,3,4,5425,,0,0.04,2,5,27447
27,90000,2,0.0,4,1,10000,7.14,0,0.11,1,10,25652
24,36000,3,1.0,4,1,7000,6.03,0,0.19,1,3,7770
23,54000,3,2.0,3,2,20000,11.12,1,0.37,1,2,662
22,51000,3,6.0,3,1,7500,5.99,0,0.15,1,2,8333
25,50000,2,4.0,5,1,6000,6.76,0,0.12,1,2,16364
25,24000,3,4.0,4,4,2000,16.59,0,0.08,1,2,1795
23,114600,2,7.0,2,3,10000,13.06,0,0.09,1,3,14764
29,30000,3,7.0,3,1,6000,8.9,0,0.2,1,10,21403
29,65000,3,1.0,2,2,12800,9.45,0,0.2,1,10,25863
48,130000,3,2.0,2,2,24000,9.91,0,0.18,1,15,29112
24,43995,3,,3,3,7400,13.99,1,0.17,2,4,8177
25,135000,3,9.0,1,2,8000,,0,0.06,1,3,9543
29,115000,2,4.0,1,2,22000,12.69,0,0.19,1,10,26704
43,80000,3,5.0,4,2,6400,11.71,0,0.08,1,11,30243
24,13000,3,1.0,4,2,1200,11.89,0,0.09,1,2,1440
28,128400,2,3.0,3,3,4000,13.35,0,0.03,2,8,27115
22,33000,3,5.0,5,1,4000,7.88,0,0.12,1,4,3840
32,68000,2,6.0,2,3,1000,14.72,1,0.01,2,9,24411
32,63000,3,11.0,2,1,14000,6.91,0,0.22,1,5,26135
22,33600,1,1.0,5,4,5000,18.25,0,0.15,1,2,17630
22,53000,2,0.0,5,2,4000,10.39,0,0.08,1,2,7484
23,55000,3,4.0,2,2,10000,10.37,0,0.18,1,4,11294
30,20520,3,0.0,4,2,5000,9.99,0,0.24,1,9,28431
26,109000,2,8.0,4,2,20000,10.75,0,0.18,1,4,14528
23,25000,1,,4,3,4000,15.27,0,0.16,2,4,1144
23,150000,3,0.0,2,1,24000,7.49,0,0.16,1,4,459
25,22000,1,0.0,3,5,7500,,0,0.34,1,3,16590
25,170000,2,0.0,2,1,3850,6.17,0,0.02,1,4,15775
27,275000,2,11.0,1,2,35000,,0,0.13,1,6,27721
26,42000,3,0.0,5,2,7500,10.25,0,0.18,1,4,8272
27,42000,3,0.0,5,2,14000,9.88,1,0.33,1,5,26012
25,30004,3,3.0,5,4,3800,14.84,1,0.13,1,2,3638
23,34000,3,5.0,4,5,9000,17.06,1,0.26,2,4,9856
25,44400,3,4.0,3,4,2100,17.27,0,0.05,1,4,1978
21,37800,3,1.0,3,3,2400,14.26,0,0.06,2,3,2117
29,56000,2,0.0,1,3,6000,13.23,0,0.11,2,7,22474
24,60000,2,6.0,3,3,2400,13.61,0,0.04,2,4,9026
26,93492,3,0.0,3,2,20000,9.45,0,0.21,1,2,17337
38,99996,1,22.0,4,4,25000,14.96,0,0.25,1,11,32124
29,81900,2,13.0,1,1,8000,7.66,0,0.1,1,10,25110
28,72000,2,3.0,2,3,28000,15.96,0,0.39,1,10,24217
24,44000,3,0.0,3,1,2000,8.0,1,0.05,1,3,16702
26,38000,3,3.0,2,2,13400,9.99,1,0.35,1,2,2203
32,70000,2,7.0,3,1,6000,5.42,0,0.09,1,6,24006
23,91000,3,2.0,2,3,16000,14.22,0,0.18,2,3,15801
22,55000,2,7.0,4,2,13500,9.67,0,0.25,1,4,16530
23,56000,2,1.0,4,1,10000,8.59,0,0.18,1,3,8204
23,72000,2,7.0,4,3,8000,13.61,0,0.11,2,2,11170
21,28416,3,6.0,3,1,4600,,0,0.16,1,2,4294
39,61250,2,0.0,3,1,5200,8.49,0,0.08,1,17,30532
24,50000,3,4.0,5,1,14400,,0,0.29,1,2,14217
23,31800,3,7.0,3,3,9600,13.48,1,0.3,2,3,10167
22,31000,3,5.0,4,2,5550,11.36,1,0.18,1,3,5907
22,69000,2,1.0,2,3,17000,15.27,1,0.25,1,3,11491
24,46704,3,2.0,3,2,9000,11.49,0,0.19,1,3,16229
39,44531,3,0.0,5,2,15000,12.53,1,0.34,1,13,31462
21,64500,2,2.0,2,2,15000,11.83,0,0.23,1,2,9800
37,74000,3,0.0,2,4,8000,16.89,1,0.11,1,15,30547
40,120000,1,15.0,4,2,20000,,0,0.17,1,11,31520
35,148000,2,19.0,5,4,25000,14.62,1,0.17,2,10,27558
35,39000,3,8.0,5,1,4500,6.62,0,0.12,1,6,20259
37,29808,3,4.0,1,3,7750,,1,0.26,2,17,30389
30,85000,2,0.0,4,3,18000,13.06,0,0.21,1,5,25351
29,27000,3,10.0,4,4,3975,12.17,1,0.15,1,5,19944
25,27500,3,4.0,4,2,2200,12.53,0,0.08,1,4,2034
23,37000,1,6.0,4,1,1125,5.79,0,0.03,1,3,12836
22,43000,2,0.0,2,1,5000,7.14,0,0.12,1,2,5004
26,80004,2,0.0,4,1,6000,8.0,0,0.07,1,4,12386
26,83300,3,2.0,4,4,16500,16.77,1,0.17,1,4,1205
26,25200,3,1.0,4,3,3000,14.35,0,0.12,2,3,12615
24,44000,3,4.0,5,2,10400,12.69,0,0.24,1,4,3539
30,50000,3,6.0,1,2,4600,11.49,0,0.09,1,7,20300
31,30000,1,2.0,4,2,2950,10.75,0,0.1,1,7,26411
27,56000,3,2.0,4,2,14000,10.65,0,0.25,1,7,26101
26,117000,2,8.0,4,1,6000,7.51,0,0.05,1,4,14859
31,50000,3,15.0,3,1,2000,5.42,1,0.04,1,8,18906
22,29376,3,1.0,2,1,2800,7.43,0,0.1,1,4,2449
23,56000,3,4.0,5,2,15000,12.69,1,0.27,1,4,15339
27,12000,3,0.0,1,3,4000,14.22,1,0.33,2,7,19945
26,54000,2,10.0,4,1,7200,5.42,0,0.13,1,2,7618
22,36000,2,1.0,2,1,6000,7.51,0,0.17,1,4,3343
26,45000,2,3.0,2,3,4000,14.35,0,0.09,2,2,5459
22,41000,2,0.0,1,2,6400,9.99,0,0.16,1,4,4506
23,40000,3,7.0,3,1,15000,7.49,1,0.38,1,3,14712
30,62000,3,1.0,4,3,7000,14.27,0,0.11,2,5,21887
37,51000,3,11.0,1,4,6400,16.89,0,0.13,2,13,30239
31,40000,2,4.0,5,2,4625,12.42,0,0.12,1,5,20183
26,26000,3,2.0,5,3,3825,14.27,0,0.15,1,4,3647
29,125000,2,2.0,4,3,3500,13.98,0,0.03,1,8,27051
22,69000,2,4.0,2,1,1000,7.4,0,0.01,1,2,10604
34,45600,3,,3,2,23500,11.36,1,0.52,1,9,18145
21,15000,3,4.0,1,4,2200,,0,0.15,1,4,16547
23,35000,2,7.0,1,1,2100,5.42,0,0.06,1,2,16428
40,40000,1,12.0,4,2,13750,8.88,0,0.34,1,14,31902
27,35000,3,1.0,1,2,8000,12.21,0,0.23,1,8,28259
33,60000,2,7.0,1,1,7000,7.14,0,0.12,1,10,23028
23,72000,2,7.0,1,2,2400,12.69,0,0.03,1,2,11081
30,29004,3,13.0,4,5,2400,17.93,1,0.08,2,7,19022
54,48000,1,20.0,3,1,6000,8.0,0,0.13,1,20,32237
26,30720,3,4.0,5,2,10000,11.49,1,0.33,1,3,10495
22,42000,3,1.0,3,4,20000,12.99,1,0.48,1,3,607
25,32640,3,4.0,5,3,4000,12.73,0,0.12,2,4,3831
31,29736,3,4.0,2,1,7000,6.92,0,0.24,1,8,22204
27,28000,3,3.0,1,3,6000,13.92,0,0.21,1,6,21396
34,96000,1,2.0,1,2,12000,11.99,0,0.13,1,6,25971
21,52240,3,5.0,4,5,18000,19.69,1,0.34,1,2,1005
32,36400,3,3.0,2,4,4800,14.11,0,0.13,2,6,20365
29,120000,2,10.0,4,1,4700,7.14,0,0.04,1,9,27829
37,200000,2,3.0,4,2,25000,10.75,0,0.13,1,11,29031
27,55812,3,3.0,5,1,10000,6.54,0,0.18,1,10,24370
25,67000,3,3.0,2,1,7000,8.94,0,0.1,1,4,7146
22,42996,3,3.0,3,3,4800,11.03,0,0.11,2,4,16594
23,30000,3,0.0,1,1,3600,6.17,0,0.12,1,2,3295
31,8000,3,0.0,2,1,4000,,1,0.5,1,7,27772
42,114000,2,4.0,5,2,19200,11.36,0,0.17,1,17,31880
21,19000,1,0.0,4,4,7200,14.74,1,0.38,2,4,15630
23,110000,3,2.0,1,2,20000,,0,0.18,1,2,840
27,238000,3,11.0,4,4,12000,17.27,1,0.05,1,7,17805
28,25000,3,,4,4,9750,18.25,1,0.39,2,6,23750
31,34000,3,2.0,4,4,7500,15.58,1,0.22,1,5,22524
24,57600,2,9.0,1,2,6500,,0,0.11,1,2,8400
22,80000,3,5.0,2,3,10000,14.27,0,0.13,1,2,11731
22,72000,3,3.0,2,3,7500,11.41,0,0.1,1,3,8409
24,32000,3,2.0,2,3,3850,12.68,0,0.12,2,4,3655
24,28000,1,6.0,4,2,10000,10.37,0,0.36,1,2,14669
25,80000,2,4.0,4,1,6000,7.74,0,0.07,1,4,12331
