person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,ID
100000.0,3,3.0,2,2,10000,0,0.1,1,3,4572
80000.0,2,3.0,3,1,10000,0,0.13,1,16,31025
45000.0,3,4.0,4,2,20000,1,0.44,1,14,29144
225000.0,2,0.0,4,2,7875,0,0.03,1,6,27725
40000.0,3,0.0,2,1,10000,0,0.25,1,4,10789
30000.0,3,8.0,4,2,3000,0,0.1,1,4,2552
60000.0,3,11.0,2,2,15000,0,0.25,1,7,28316
24996.0,3,2.0,5,2,6200,0,0.25,1,5,21851
18600.0,3,2.0,5,2,1700,0,0.09,1,3,1673
85000.0,3,2.0,4,3,12000,0,0.14,1,6,25461
77000.0,2,6.0,2,4,8000,0,0.1,1,2,11886
60000.0,2,4.0,4,2,4800,0,0.08,1,9,22976
115752.0,2,6.0,5,2,10000,0,0.09,1,7,26753
100000.0,2,7.0,2,1,12000,0,0.12,1,6,26175
38000.0,3,7.0,3,2,12000,1,0.32,1,4,16889
30000.0,3,1.0,4,2,7000,0,0.23,1,3,7710
39000.0,2,0.0,4,4,12000,1,0.31,1,7,21039
111000.0,2,2.0,4,7,12500,1,0.11,1,8,26993
72000.0,2,6.0,1,1,4250,0,0.06,1,5,28061
42000.0,2,11.0,2,4,15075,0,0.36,1,2,4875
78000.0,2,8.0,3,3,12000,0,0.15,1,4,11968
105000.0,2,18.0,3,2,3000,0,0.03,1,7,26404
50000.0,2,8.0,5,3,6000,0,0.12,2,9,21520
25000.0,3,0.0,5,1,4400,0,0.18,1,3,4137
95111.0,2,9.0,3,3,18000,0,0.19,1,4,13733
34000.0,3,2.0,4,2,2400,0,0.07,1,5,19020
27600.0,3,4.0,2,1,7500,0,0.27,1,4,8207
38832.0,3,0.0,5,2,10000,0,0.26,1,2,10706
59004.0,3,0.0,4,4,8000,1,0.14,2,8,23191
20500.0,2,4.0,4,1,1000,0,0.05,1,6,18245
43200.0,3,3.0,3,3,3000,0,0.07,2,3,2625
65000.0,3,2.0,5,1,12000,0,0.18,1,7,25288
91000.0,1,6.0,1,2,5600,0,0.06,1,8,25735
92052.0,2,6.0,4,1,6500,0,0.07,1,9,25803
45000.0,1,0.0,2,3,6500,0,0.14,2,2,5597
42000.0,3,6.0,3,3,10000,0,0.24,2,4,10811
58617.0,3,6.0,4,4,5400,1,0.09,1,2,5775
39000.0,3,6.0,4,3,6000,1,0.15,2,2,6519
84000.0,3,1.0,4,3,20000,0,0.24,1,8,18300
49853.0,2,19.0,2,4,12000,0,0.24,2,11,30056
67000.0,3,9.0,4,3,10000,0,0.15,1,3,11561
42000.0,3,2.0,2,1,3000,0,0.07,1,5,25369
53000.0,2,3.0,2,3,6400,0,0.12,2,8,22071
46800.0,2,4.0,4,1,3600,0,0.08,1,3,5803
31000.0,3,2.0,4,4,7400,1,0.24,2,9,22464
28000.0,3,1.0,4,3,9700,1,0.35,1,2,10312
100000.0,2,8.0,4,1,10750,0,0.11,1,4,14037
37000.0,3,8.0,2,4,10500,0,0.28,1,4,16075
66300.0,3,1.0,4,4,9600,1,0.12,1,7,23730
45000.0,1,13.0,1,2,15000,0,0.33,1,8,20899
36000.0,1,1.0,1,1,1800,0,0.05,1,4,3302
60000.0,3,7.0,4,1,23800,1,0.4,1,15,29113
139008.0,2,2.0,1,3,15000,0,0.11,1,9,27877
36996.0,2,4.0,5,2,8800,0,0.24,1,6,19802
48000.0,2,6.0,5,3,15000,0,0.31,1,10,21357
225000.0,2,1.0,3,2,2000,0,0.01,1,10,27826
45000.0,3,4.0,3,2,6500,0,0.14,1,8,22011
52800.0,2,2.0,4,1,24000,0,0.45,1,10,22033
180000.0,2,9.0,1,3,9700,0,0.05,1,4,15819
77000.0,2,8.0,4,1,9000,0,0.12,1,3,11868
96000.0,1,0.0,2,2,4000,0,0.04,1,3,13818
123996.0,2,10.0,4,1,2000,0,0.02,1,4,15136
65520.0,3,3.0,5,1,10000,0,0.15,1,4,11554
88500.0,3,3.0,1,3,7200,0,0.08,2,2,16014
39500.0,3,4.0,4,2,3600,0,0.09,1,9,19713
58800.0,3,6.0,4,2,2800,1,0.05,1,10,25675
60000.0,2,6.0,1,1,7000,0,0.12,1,3,9107
64000.0,3,3.0,3,1,3600,1,0.06,1,5,19890
63750.0,2,8.0,4,4,35000,1,0.47,1,3,13006
90000.0,2,3.0,1,2,2500,0,0.03,1,13,31202
153600.0,2,1.0,5,1,18000,0,0.12,1,2,15681
60000.0,2,15.0,2,3,15000,0,0.25,1,6,22922
49000.0,3,6.0,4,2,7000,1,0.14,1,16,30297
72893.0,2,9.0,3,3,20000,0,0.27,1,2,11278
88000.0,3,0.0,2,1,5000,0,0.06,1,25,32227
34000.0,3,13.0,4,3,2000,0,0.06,2,7,26484
33000.0,2,2.0,4,1,5000,0,0.15,1,7,19286
48000.0,2,8.0,4,3,2000,0,0.04,1,9,21404
30000.0,3,0.0,2,1,12000,1,0.4,1,3,12199
21000.0,3,2.0,2,2,10000,1,0.48,1,2,10337
68400.0,2,8.0,5,3,8000,1,0.12,1,7,24440
25000.0,3,1.0,3,1,7100,0,0.28,1,2,6750
78000.0,2,5.0,3,2,6775,1,0.09,1,5,25236
124000.0,2,8.0,1,4,12000,0,0.1,1,16,31541
44300.0,2,12.0,4,1,4325,0,0.1,1,5,20800
53307.0,3,5.0,1,2,15000,0,0.28,1,4,15191
12996.0,1,1.0,1,2,4750,1,0.37,1,2,17123
225000.0,2,3.0,3,1,28000,0,0.09,1,23,32141
68508.0,3,17.0,4,1,7000,0,0.1,1,6,21911
80000.0,3,3.0,5,1,7200,0,0.09,1,2,8116
72000.0,3,4.0,5,3,6000,0,0.08,1,10,21749
61498.0,2,5.0,3,2,5000,0,0.08,1,2,9372
93492.0,3,0.0,5,2,20000,0,0.21,1,4,804
27000.0,3,2.0,4,1,8500,1,0.31,1,17,29885
39996.0,3,4.0,2,1,8000,0,0.2,1,5,22867
118000.0,3,0.0,3,4,19550,1,0.17,2,4,15917
223800.0,2,15.0,4,2,25000,1,0.11,1,9,27694
200000.0,3,5.0,5,2,10000,0,0.05,1,9,17895
72000.0,2,3.0,4,1,10000,0,0.14,1,3,11181
53196.0,3,9.0,1,2,25000,1,0.47,1,9,17854
145000.0,2,4.0,3,2,5000,0,0.03,1,16,31638
60000.0,1,1.0,3,4,5000,0,0.08,1,9,23030
22000.0,2,5.0,5,1,1550,1,0.07,1,2,805
50400.0,3,3.0,1,2,5000,0,0.1,1,2,5288
72000.0,2,5.05688943263496,1,1,5000,0,0.07,1,7,28117
36000.0,2,6.0,5,1,10000,0,0.28,1,3,3300
53000.0,2,2.0,4,2,7200,0,0.14,1,8,22063
94000.0,2,9.0,4,2,30000,0,0.32,1,4,13574
35665.0,3,2.0,3,2,10000,0,0.28,1,6,23913
38000.0,1,5.0,2,2,14000,0,0.37,1,3,3680
51000.0,3,1.0,3,3,9000,0,0.18,2,5,23545
72800.0,3,3.0,4,4,24000,1,0.33,1,12,29105
23000.0,3,4.0,3,1,5900,0,0.26,1,4,6089
87000.0,2,0.0,3,3,7500,0,0.09,2,2,13052
125000.0,3,2.0,2,3,3000,0,0.02,2,10,19507
53126.0,3,1.0,4,4,8000,1,0.15,1,11,31886
120000.0,2,6.0,4,1,9600,0,0.08,1,9,26874
54000.0,3,1.0,1,2,20000,1,0.37,1,4,634
50000.0,3,2.0,3,2,8000,0,0.16,1,4,8964
52000.0,2,1.0,1,1,1000,0,0.02,1,7,21937
41340.0,3,6.0,1,4,14000,1,0.34,1,3,2026
30972.0,3,1.0,1,4,2000,1,0.06,1,2,1897
103000.0,2,0.0,5,4,16750,1,0.16,1,2,14809
37595.0,3,6.0,5,1,9600,0,0.26,1,8,23667
60000.0,2,4.0,1,1,14000,0,0.23,1,2,8720
43000.0,3,3.0,4,4,10000,1,0.23,1,2,11113
63360.0,3,1.0,2,2,6500,0,0.1,1,8,22022
52000.0,2,3.0,5,1,15250,0,0.29,1,15,30195
75000.0,3,6.0,2,1,15000,0,0.2,1,11,31616
80000.0,3,1.0,4,2,9600,0,0.12,1,7,23721
81500.0,2,4.0,5,2,15000,0,0.18,1,4,12456
19200.0,3,2.0,4,3,6000,1,0.31,2,2,6125
36707.0,3,3.0,3,4,9250,0,0.25,2,4,10035
40000.0,3,3.0,2,1,3500,0,0.09,1,4,3174
47000.0,2,5.0,5,3,10000,0,0.21,2,4,5890
33144.0,3,3.0,1,4,8400,0,0.25,1,8,23341
31000.0,1,0.0,3,1,1000,0,0.03,1,7,27948
95000.0,2,4.0,4,1,11200,0,0.12,1,8,25900
45000.0,1,2.0,1,1,6000,0,0.13,1,2,5293
54000.0,1,8.0,2,3,1200,0,0.02,2,3,7671
25000.0,3,0.0,1,2,2975,0,0.12,1,2,2469
20000.0,3,0.0,4,2,2150,0,0.11,1,6,18952
96000.0,2,4.0,5,3,2500,0,0.03,2,10,25968
92004.0,3,6.0,4,3,30000,1,0.33,2,2,16088
62000.0,3,13.0,5,3,9000,0,0.15,1,7,28841
68000.0,2,9.0,2,3,12000,0,0.18,2,3,10512
93000.0,2,10.0,4,1,3000,0,0.03,1,8,25820
73008.0,2,4.0,5,5,15000,1,0.21,2,3,12926
92000.0,2,11.0,2,2,18000,0,0.2,1,7,25793
86000.0,2,2.0,3,1,15000,0,0.17,1,2,12948
200000.0,2,2.0,5,2,15500,0,0.08,1,2,179
15000.0,3,0.0,4,1,2000,0,0.13,1,4,1764
45000.0,2,4.0,3,1,11000,0,0.24,1,3,5279
25000.0,3,3.0,2,1,3000,0,0.12,1,2,12613
64600.0,3,2.0,5,1,5000,0,0.08,1,4,5516
50000.0,3,1.0,2,3,8000,0,0.16,1,9,22962
67000.0,3,3.0,5,2,6000,0,0.09,1,8,21732
56004.0,3,2.0,4,3,14000,0,0.25,1,2,13950
30000.0,3,9.0,4,1,1800,1,0.06,1,2,14854
225000.0,3,18.0,5,3,19600,0,0.02,1,28,32134
55000.0,2,2.0,3,1,12000,0,0.22,1,13,30294
62400.0,3,3.0,3,2,2000,0,0.03,1,2,1929
36225.0,3,2.0,1,3,5000,0,0.14,1,4,4863
130000.0,2,5.0,3,4,35000,0,0.27,2,4,15297
120000.0,2,14.0,1,4,7500,0,0.06,1,8,28381
120000.0,2,9.0,3,3,25000,0,0.21,1,3,15005
41004.0,2,5.0,5,1,4000,0,0.1,1,5,20431
28800.0,3,2.0,4,1,1600,0,0.06,1,2,15034
73000.0,3,5.0,4,2,5800,0,0.08,1,6,21320
35000.0,3,2.0,4,2,16000,1,0.46,1,3,1217
70000.0,2,3.0,4,2,3200,0,0.05,1,4,10851
38000.0,2,3.0,5,1,6000,0,0.16,1,4,3628
36000.0,2,8.0,2,2,1600,0,0.04,1,7,19662
36000.0,2,6.0,1,2,4000,0,0.11,1,9,19650
36000.0,3,9.0,3,3,8000,1,0.22,2,2,8848
26000.0,2,8.0,4,1,7000,0,0.27,1,2,1341
42996.0,3,5.0,1,3,6000,1,0.14,1,5,21578
61000.0,3,3.0,4,2,16400,0,0.27,1,4,1207
130000.0,2,6.0,3,2,20000,0,0.15,1,2,15363
55000.0,3,4.0,4,3,8000,0,0.15,1,8,22994
38400.0,3,2.0,3,2,9800,0,0.26,1,5,20506
82000.0,2,2.0,2,1,6000,0,0.07,1,10,25120
20400.0,3,3.0,1,1,5500,0,0.27,1,8,28096
72000.0,3,0.0,5,1,10000,0,0.14,1,3,11645
33300.0,1,2.0,1,3,9000,0,0.27,2,4,2632
75000.0,2,3.0,1,3,3500,0,0.05,2,3,11534
39900.0,3,0.0,1,1,12000,0,0.3,1,3,12362
140987.0,2,5.0,1,1,6450,0,0.05,1,10,27350
63000.0,3,1.0,3,1,1500,0,0.02,1,17,29305
72000.0,2,0.0,1,2,24000,0,0.33,1,6,24291
55000.0,3,2.0,3,2,8000,0,0.15,1,2,9014
150000.0,1,5.0,3,4,5425,0,0.04,2,5,27447
90000.0,2,0.0,4,1,10000,0,0.11,1,10,25652
36000.0,3,1.0,4,1,7000,0,0.19,1,3,7770
54000.0,3,2.0,3,2,20000,1,0.37,1,2,662
51000.0,3,6.0,3,1,7500,0,0.15,1,2,8333
50000.0,2,4.0,5,1,6000,0,0.12,1,2,16364
24000.0,3,4.0,4,4,2000,0,0.08,1,2,1795
114600.0,2,7.0,2,3,10000,0,0.09,1,3,14764
30000.0,3,7.0,3,1,6000,0,0.2,1,10,21403
65000.0,3,1.0,2,2,12800,0,0.2,1,10,25863
130000.0,3,2.0,2,2,24000,0,0.18,1,15,29112
43995.0,3,4.441265060240964,3,3,7400,1,0.17,2,4,8177
135000.0,3,9.0,1,2,8000,0,0.06,1,3,9543
115000.0,2,4.0,1,2,22000,0,0.19,1,10,26704
80000.0,3,5.0,4,2,6400,0,0.08,1,11,30243
13000.0,3,1.0,4,2,1200,0,0.09,1,2,1440
128400.0,2,3.0,3,3,4000,0,0.03,2,8,27115
33000.0,3,5.0,5,1,4000,0,0.12,1,4,3840
68000.0,2,6.0,2,3,1000,1,0.01,2,9,24411
63000.0,3,11.0,2,1,14000,0,0.22,1,5,26135
33600.0,1,1.0,5,4,5000,0,0.15,1,2,17630
53000.0,2,0.0,5,2,4000,0,0.08,1,2,7484
55000.0,3,4.0,2,2,10000,0,0.18,1,4,11294
20520.0,3,0.0,4,2,5000,0,0.24,1,9,28431
109000.0,2,8.0,4,2,20000,0,0.18,1,4,14528
25000.0,1,4.441265060240964,4,3,4000,0,0.16,2,4,1144
150000.0,3,0.0,2,1,24000,0,0.16,1,4,459
22000.0,1,0.0,3,5,7500,0,0.34,1,3,16590
170000.0,2,0.0,2,1,3850,0,0.02,1,4,15775
225000.0,2,11.0,1,2,35000,0,0.13,1,6,27721
42000.0,3,0.0,5,2,7500,0,0.18,1,4,8272
42000.0,3,0.0,5,2,14000,1,0.33,1,5,26012
30004.0,3,3.0,5,4,3800,1,0.13,1,2,3638
34000.0,3,5.0,4,5,9000,1,0.26,2,4,9856
44400.0,3,4.0,3,4,2100,0,0.05,1,4,1978
37800.0,3,1.0,3,3,2400,0,0.06,2,3,2117
56000.0,2,0.0,1,3,6000,0,0.11,2,7,22474
60000.0,2,6.0,3,3,2400,0,0.04,2,4,9026
93492.0,3,0.0,3,2,20000,0,0.21,1,2,17337
99996.0,1,22.0,4,4,25000,0,0.25,1,11,32124
81900.0,2,13.0,1,1,8000,0,0.1,1,10,25110
72000.0,2,3.0,2,3,28000,0,0.39,1,10,24217
44000.0,3,0.0,3,1,2000,1,0.05,1,3,16702
38000.0,3,3.0,2,2,13400,1,0.35,1,2,2203
70000.0,2,7.0,3,1,6000,0,0.09,1,6,24006
91000.0,3,2.0,2,3,16000,0,0.18,2,3,15801
55000.0,2,7.0,4,2,13500,0,0.25,1,4,16530
56000.0,2,1.0,4,1,10000,0,0.18,1,3,8204
72000.0,2,7.0,4,3,8000,0,0.11,2,2,11170
28416.0,3,6.0,3,1,4600,0,0.16,1,2,4294
61250.0,2,0.0,3,1,5200,0,0.08,1,17,30532
50000.0,3,4.0,5,1,14400,0,0.29,1,2,14217
31800.0,3,7.0,3,3,9600,1,0.3,2,3,10167
31000.0,3,5.0,4,2,5550,1,0.18,1,3,5907
69000.0,2,1.0,2,3,17000,1,0.25,1,3,11491
46704.0,3,2.0,3,2,9000,0,0.19,1,3,16229
44531.0,3,0.0,5,2,15000,1,0.34,1,13,31462
64500.0,2,2.0,2,2,15000,0,0.23,1,2,9800
74000.0,3,0.0,2,4,8000,1,0.11,1,15,30547
120000.0,1,15.0,4,2,20000,0,0.17,1,11,31520
148000.0,2,19.0,5,4,25000,1,0.17,2,10,27558
39000.0,3,8.0,5,1,4500,0,0.12,1,6,20259
29808.0,3,4.0,1,3,7750,1,0.26,2,17,30389
85000.0,2,0.0,4,3,18000,0,0.21,1,5,25351
27000.0,3,10.0,4,4,3975,1,0.15,1,5,19944
27500.0,3,4.0,4,2,2200,0,0.08,1,4,2034
37000.0,1,6.0,4,1,1125,0,0.03,1,3,12836
43000.0,2,0.0,2,1,5000,0,0.12,1,2,5004
80004.0,2,0.0,4,1,6000,0,0.07,1,4,12386
83300.0,3,2.0,4,4,16500,1,0.17,1,4,1205
25200.0,3,1.0,4,3,3000,0,0.12,2,3,12615
44000.0,3,4.0,5,2,10400,0,0.24,1,4,3539
50000.0,3,6.0,1,2,4600,0,0.09,1,7,20300
30000.0,1,2.0,4,2,2950,0,0.1,1,7,26411
56000.0,3,2.0,4,2,14000,0,0.25,1,7,26101
117000.0,2,8.0,4,1,6000,0,0.05,1,4,14859
50000.0,3,15.0,3,1,2000,1,0.04,1,8,18906
29376.0,3,1.0,2,1,2800,0,0.1,1,4,2449
56000.0,3,4.0,5,2,15000,1,0.27,1,4,15339
12000.0,3,0.0,1,3,4000,1,0.33,2,7,19945
54000.0,2,10.0,4,1,7200,0,0.13,1,2,7618
36000.0,2,1.0,2,1,6000,0,0.17,1,4,3343
45000.0,2,3.0,2,3,4000,0,0.09,2,2,5459
41000.0,2,0.0,1,2,6400,0,0.16,1,4,4506
40000.0,3,7.0,3,1,15000,1,0.38,1,3,14712
62000.0,3,1.0,4,3,7000,0,0.11,2,5,21887
51000.0,3,11.0,1,4,6400,0,0.13,2,13,30239
40000.0,2,4.0,5,2,4625,0,0.12,1,5,20183
26000.0,3,2.0,5,3,3825,0,0.15,1,4,3647
125000.0,2,2.0,4,3,3500,0,0.03,1,8,27051
69000.0,2,4.0,2,1,1000,0,0.01,1,2,10604
45600.0,3,4.713608562691132,3,2,23500,1,0.52,1,9,18145
15000.0,3,4.0,1,4,2200,0,0.15,1,4,16547
35000.0,2,7.0,1,1,2100,0,0.06,1,2,16428
40000.0,1,12.0,4,2,13750,0,0.34,1,14,31902
35000.0,3,1.0,1,2,8000,0,0.23,1,8,28259
60000.0,2,7.0,1,1,7000,0,0.12,1,10,23028
72000.0,2,7.0,1,2,2400,0,0.03,1,2,11081
29004.0,3,13.0,4,5,2400,1,0.08,2,7,19022
48000.0,1,20.0,3,1,6000,0,0.13,1,20,32237
30720.0,3,4.0,5,2,10000,1,0.33,1,3,10495
42000.0,3,1.0,3,4,20000,1,0.48,1,3,607
32640.0,3,4.0,5,3,4000,0,0.12,2,4,3831
29736.0,3,4.0,2,1,7000,0,0.24,1,8,22204
28000.0,3,3.0,1,3,6000,0,0.21,1,6,21396
96000.0,1,2.0,1,2,12000,0,0.13,1,6,25971
52240.0,3,5.0,4,5,18000,1,0.34,1,2,1005
36400.0,3,3.0,2,4,4800,0,0.13,2,6,20365
120000.0,2,10.0,4,1,4700,0,0.04,1,9,27829
200000.0,2,3.0,4,2,25000,0,0.13,1,11,29031
55812.0,3,3.0,5,1,10000,0,0.18,1,10,24370
67000.0,3,3.0,2,1,7000,0,0.1,1,4,7146
42996.0,3,3.0,3,3,4800,0,0.11,2,4,16594
30000.0,3,0.0,1,1,3600,0,0.12,1,2,3295
8000.0,3,0.0,2,1,4000,1,0.5,1,7,27772
114000.0,2,4.0,5,2,19200,0,0.17,1,17,31880
19000.0,1,0.0,4,4,7200,1,0.38,2,4,15630
110000.0,3,2.0,1,2,20000,0,0.18,1,2,840
225000.0,3,11.0,4,4,12000,1,0.05,1,7,17805
25000.0,3,4.68741837178929,4,4,9750,1,0.39,2,6,23750
34000.0,3,2.0,4,4,7500,1,0.22,1,5,22524
57600.0,2,9.0,1,2,6500,0,0.11,1,2,8400
80000.0,3,5.0,2,3,10000,0,0.13,1,2,11731
72000.0,3,3.0,2,3,7500,0,0.1,1,3,8409
32000.0,3,2.0,2,3,3850,0,0.12,2,4,3655
28000.0,1,6.0,4,2,10000,0,0.36,1,2,14669
80000.0,2,4.0,4,1,6000,0,0.07,1,4,12331
110000.0,3,1.0,3,2,20000,0,0.18,1,4,839
73000.0,2,7.0,4,1,20675,0,0.28,1,7,24356
42504.0,3,0.0,2,1,6300,0,0.15,1,3,7255
70000.0,3,6.0,1,2,12000,0,0.17,1,8,25314
54500.0,2,6.0,1,1,20500,0,0.38,1,17,30258
35000.0,3,1.0,4,1,4000,0,0.11,1,6,20043
50000.0,3,4.0,4,1,15000,0,0.3,1,14,31498
34000.0,3,0.0,5,4,2400,1,0.07,1,5,28514
60000.0,2,4.0,3,2,13250,0,0.22,1,10,23053
140000.0,2,9.0,2,1,11000,0,0.08,1,8,27322
42000.0,3,6.0,4,1,5600,0,0.13,1,2,5960
12000.0,3,1.0,2,4,4500,1,0.38,1,9,20228
44104.0,3,4.0,1,2,15000,1,0.34,1,10,26709
48000.0,1,0.0,3,3,3500,0,0.07,1,12,30019
82000.0,2,15.0,4,1,9000,0,0.11,1,9,25137
53000.0,3,5.0,4,3,3150,0,0.06,1,12,29515
107000.0,2,2.0,4,3,17400,0,0.16,1,4,14455
70000.0,3,4.0,2,2,6000,0,0.09,1,4,6851
60000.0,1,11.0,2,1,20000,0,0.33,1,9,28694
17000.0,3,0.0,5,5,1500,1,0.09,1,2,15126
69000.0,3,0.0,1,4,5800,1,0.08,2,5,21321
36000.0,3,11.0,1,1,4500,0,0.13,1,5,20254
42000.0,2,5.0,2,3,7000,0,0.17,2,4,4686
40200.0,3,1.0,2,1,4000,0,0.1,1,4,3907
90200.0,3,2.0,3,3,19125,0,0.21,1,4,15880
32000.0,2,0.0,2,1,1700,0,0.05,1,4,2365
36000.0,2,3.0,5,3,7000,0,0.19,2,2,3359
54000.0,3,3.0,5,3,12000,1,0.22,2,3,12551
42000.0,3,2.0,2,2,6500,0,0.15,1,3,17364
72000.0,2,6.0,1,2,15000,0,0.21,1,2,11234
34995.0,3,4.0,2,1,10000,0,0.29,1,2,10569
65000.0,3,5.0,5,2,3200,0,0.05,1,3,3034
45000.0,3,0.0,2,3,1000,0,0.02,2,2,1408
26400.0,1,4.441265060240964,4,3,4750,0,0.18,2,14,31484
80000.0,2,3.0,2,4,20000,0,0.25,2,3,12220
70000.0,2,7.0,3,2,15000,0,0.21,1,24,32394
100000.0,2,1.0,4,2,25000,0,0.25,1,3,14168
84175.0,3,4.0,2,1,7000,0,0.08,1,8,21931
74797.0,2,2.0,4,4,15000,1,0.17,2,10,26131
36000.0,2,1.0,5,1,8000,0,0.22,1,3,3402
42000.0,3,0.0,4,1,12000,0,0.29,1,2,17516
27600.0,3,5.0,5,2,10000,1,0.36,1,6,23804
24000.0,3,0.0,1,1,5000,0,0.21,1,2,9240
16800.0,3,0.0,4,1,3000,1,0.18,1,7,19237
14400.0,3,2.0,4,3,3000,1,0.21,2,3,2479
33000.0,2,5.0,4,3,2000,1,0.06,1,4,2557
77000.0,2,2.0,1,3,15000,0,0.19,1,15,30961
